language,l1_speakers,l2_speakers,total
English,"379,007,140","753,359,540","1,132,366,680"
Mandarin Chinese,"917,868,640","198,728,000","1,116,596,640"
Hindi,"341,208,640","274,266,900","615,475,540"
Spanish,"460,093,030","74,242,700","534,335,730"
French,"77,177,210","202,644,720","279,821,930"
